Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
7470,2725.000,3375.000
7553,2600.000,3100.000
7636,2900.000,3450.000
7719,2550.000,3325.000
7802,2825.000,3875.000
7885,2750.000,2925.000
7968,2975.000,3375.000
8051,2650.000,3200.000
8134,2875.000,3275.000
8217,2600.000,3475.000
8300,3025.000,3875.000
8383,2425.000,2975.000
8466,2825.000,3425.000
8549,2850.000,3225.000
8632,2525.000,4075.000
8715,2475.000,3475.000
8798,3000.000,2800.000
8881,2450.000,4100.000
8964,2775.000,3200.000
9047,2750.000,3250.000
9130,3175.000,3125.000
9213,2275.000,3550.000
9296,3050.000,3825.000
9379,2825.000,3000.000
9462,2500.000,3300.000
9545,2675.000,3350.000
9628,2750.000,2675.000
9711,2900.000,3100.000
9794,3050.000,3675.000
9877,2525.000,3475.000
9960,3400.000,3425.000
10043,3150.000,3175.000
10126,2925.000,3325.000
10209,2675.000,3900.000
10292,2450.000,2725.000
10375,2975.000,3175.000
10458,2775.000,3550.000
10541,2725.000,2600.000
10624,1925.000,2525.000
10707,1925.000,2275.000
10790,1800.000,2025.000
10873,1850.000,2300.000
10956,1800.000,1550.000
11039,1400.000,1475.000
11122,725.000,1125.000
11205,1000.000,1225.000
11288,1400.000,1350.000
11371,975.000,1100.000
11454,1550.000,1525.000
11537,1200.000,1050.000
11620,1175.000,875.000
11703,900.000,775.000
11786,675.000,900.000
11869,575.000,700.000
11952,625.000,875.000
12035,1000.000,850.000
12118,775.000,525.000
12201,300.000,800.000
12284,475.000,825.000
12367,700.000,925.000
12450,750.000,900.000
12533,900.000,750.000
12616,550.000,900.000
12699,625.000,725.000
12782,875.000,725.000
12865,550.000,325.000
12948,400.000,425.000
13031,500.000,350.000
13114,375.000,425.000
13197,500.000,450.000
13280,700.000,525.000
13363,1375.000,825.000
13446,2525.000,750.000
13529,4025.000,1075.000
13612,6351.000,1600.000
13695,7877.000,1425.000
13778,10980.000,1625.000
13861,14460.000,1600.000
13944,16660.000,2025.000
14027,19030.000,2050.000
14110,20640.000,1950.000
14193,22590.000,1950.000
14276,26340.000,2375.000
14359,29800.000,2875.000
14442,31780.000,2600.000
14525,33550.000,3200.000
14608,38140.000,3425.000
14691,40320.000,3150.000
14774,45530.000,2875.000
14857,46680.000,2850.000
14940,48210.000,3975.000
15023,53120.000,4025.000
15106,49140.000,3850.000
15189,56360.000,3925.000
15272,61170.000,4426.000
15355,65310.000,4651.000
15438,63350.000,4175.000
15521,67290.000,4401.000
15604,72610.000,4576.000
15687,70080.000,4501.000
15770,73940.000,4826.000
15853,75400.000,4375.000
15936,82600.000,5126.000
16019,81470.000,4901.000
16102,82350.000,5026.000
16185,83610.000,5176.000
16268,85240.000,4676.000
16351,87070.000,5001.000
16434,88960.000,5726.000
16517,87670.000,5401.000
16600,94880.000,4901.000
16683,90440.000,5526.000
16766,90310.000,5401.000
16849,96390.000,5426.000
16932,93900.000,5676.000
17015,98780.000,5726.000
17098,99080.000,6051.000
17181,101900.000,5901.000
17264,102900.000,6201.000
17347,100500.000,6276.000
17430,107700.000,6351.000
